0,1,2,3,4,5,6
性別,選秀大會,,總順位,class,球隊,新秀球員
men,2024,cba,4.,oversea,浙江廣廈,林秉聖
men,2024,cba,8.,oversea,南京同曦,陳將双
men,2024,cba,9.,oversea,山西汾酒,蔡宸綱 (未報到)
men,2024,cba,21.,oversea,吉林九台農商銀行,陳冠中
men,2024,cba,26.,oversea,北京首鋼,魏莨哲 (未報到)
men,2024,plg,狀元,braves,,莫巴耶
men,2024,plg,2.,ghosthawks,,李允傑
men,2024,plg,3.,steelers,,馬克斯
men,2024,plg,4.,pilots,,陳力生
men,2024,plg,5.,ghosthawks,,張志豪
men,2024,plg,6.,steelers,,莊朝聖
men,2024,plg,7.,steelers,,王凱裕
men,2024,plg,8.,steelers,,汪哲宇 (未報到)
men,2024,plg,9.,braves,,江 均 (未報到)
men,2024,plg,10.,steelers,,林心翔
men,2024,plg,11.,steelers,,朱育君
men,2024,tpbl,狀元,mars,,雷蒙恩
men,2024,tpbl,2.,lioneers,,蔡宸綱
men,2024,tpbl,3.,leopards,,汪哲宇
men,2024,tpbl,4.,aquas,,魏莨哲
men,2024,tpbl,5.,dea,,余維豪
men,2024,tpbl,6.,mars,,江 均
men,2024,tpbl,7.,kings,,陳將双
men,2024,tpbl,8.,dreamers,,史承平
men,2024,tpbl,9.,leopards,,莊博元
men,2024,tpbl,10.,dea,,陳冠中 (未報到)
men,2024,tpbl,11.,dea,,曾銘偉
men,2023,cba,3.,oversea,北京控股,林彥廷
men,2023,plg,狀元,lioneers,新竹御頂攻城獅,阿拉薩 (未報到)
men,2023,plg,2.,pilots,桃園璞園領航猿,喬楚瑜
men,2023,plg,3.,dreamers,福爾摩沙夢想家,丁冠皓
men,2023,plg,4.,steelers,高雄17直播鋼鐵人,丹尼爾
men,2023,plg,5.,kings,新北國王,蘇培凱
men,2023,plg,6.,braves,臺北富邦勇士,蔡鎮嶽
men,2023,plg,7.,lioneers,新竹御頂攻城獅,王翊帆 (未報到)
men,2023,plg,8.,steelers,高雄17直播鋼鐵人,劉承彥
men,2023,t1,狀元,leopards,台啤永豐雲豹,林信寬
men,2023,t1,2.,leopards,台啤永豐雲豹,高錦瑋
men,2023,t1,3.,mars,臺北戰神,張兆辰
men,2023,t1,4.,mars,臺北戰神,簡賀宇
men,2023,t1,5.,aquas,高雄全家海神,唐維傑
men,2023,t1,6.,dea,新北中信特攻,李沛澄
men,2023,t1,7.,suns,臺中太陽,郭振復 (未報到)
men,2023,sbl,狀元,bll,彰化柏力力,蘇格爾
men,2023,sbl,2.,beer,台灣啤酒,蔣浩文
men,2023,sbl,3.,bank,臺灣銀行,郭振復
men,2023,sbl,4.,yulon,裕隆納智捷,王翊帆
men,2023,sbl,5.,bll,彰化柏力力,謝承諳
men,2023,sbl,6.,beer,台灣啤酒,吳沛嘉
men,2023,sbl,7.,yulon,裕隆納智捷,涂亦含
men,2023,sbl,8.,bll,彰化柏力力,蔡紘揚
men,2023,sbl,9.,bll,彰化柏力力,廖景泰
men,2023,sbl,10.,bll,彰化柏力力,陳昭群
men,2023,sbl,11.,bll,彰化柏力力,徐仕宏
women,2023,wsbl,狀元,taipower,台灣電力,吳侑萱
women,2023,wsbl,2.,cht,中華電信,陳芷英
women,2023,wsbl,3.,taiyuen,台元紡織,張琦玟
women,2023,wsbl,4.,taipower,台灣電力,林釵娟
men,2022,cba,2.,oversea,江蘇肯帝亞,馬建豪
men,2022,plg,狀元,pilots,桃園璞園領航猿,張鎮衙
men,2022,plg,2.,braves,臺北富邦勇士,陳范柏彥
men,2022,plg,3.,pilots,桃園璞園領航猿,白曜誠
men,2022,plg,4.,pilots,桃園璞園領航猿,丁恩迪
men,2022,plg,5.,lioneers,新竹街口攻城獅,伊波卡
men,2022,plg,6.,braves,臺北富邦勇士,簡廷兆
men,2022,plg,7.,pilots,桃園璞園領航猿,林子洧
men,2022,plg,8.,steelers,高雄17直播鋼鐵人,張傑瑋
men,2022,plg,9.,kings,新北國王,李威廷
men,2022,plg,10.,lioneers,新竹街口攻城獅,曾柏喻
men,2022,plg,11.,pilots,桃園璞園領航猿,呂蔡瑜倫 (未報到)
men,2022,t1,第1輪指名,ghosthawks,臺南台鋼獵鷹,谷毛唯嘉
men,2022,t1,第1輪指名,ghosthawks,臺南台鋼獵鷹,韓杰諭
men,2022,t1,第1輪指名,leopards,桃園永豐雲豹,陳孝榕
men,2022,t1,第1輪指名,leopards,桃園永豐雲豹,陳建銘
men,2022,t1,第1輪指名,herobears,台灣啤酒英熊,曹薰襄
men,2022,t1,第1輪指名,suns,臺中葳格太陽,董永全
men,2022,t1,第1輪指名,aquas,高雄全家海神,邱子軒
men,2022,t1,第1輪指名,aquas,高雄全家海神,白曜誠 (未報到)
men,2022,t1,第2輪指名,leopards,桃園永豐雲豹,林子洧 (未報到)
men,2022,t1,第2輪指名,herobears,台灣啤酒英熊,呂蔡瑜倫
men,2022,t1,第2輪指名,herobears,台灣啤酒英熊,黃建智 (未報到)
men,2022,t1,第2輪指名,dea,新北中信特攻,陳鈺安
men,2022,t1,第3輪指名,herobears,台灣啤酒英熊,黃泓諭 (未報到)
men,2022,t1,第3輪指名,suns,臺中葳格太陽,李明修
men,2022,sbl,狀元,bll,彰化柏力力,江尚謙
men,2022,sbl,2.,yulon,裕隆納智捷,黃鉉閔
men,2022,sbl,3.,beer,台灣啤酒,蓋 比
men,2022,sbl,4.,bank,臺灣銀行,沈睿洋
men,2022,sbl,5.,bll,彰化柏力力,蔣浩偉
men,2022,sbl,6.,yulon,裕隆納智捷,陳品銓
men,2022,sbl,7.,beer,台灣啤酒,賴俊廷
men,2022,sbl,8.,bank,臺灣銀行,周日騰
men,2022,sbl,9.,bll,彰化柏力力,郭 翰
men,2022,sbl,10.,beer,台灣啤酒,黃泓諭
men,2022,sbl,11.,bll,彰化柏力力,黃建智
men,2022,sbl,12.,beer,台灣啤酒,林子洧 (未報到)
men,2022,sbl,13.,beer,台灣啤酒,呂蔡瑜倫 (23-24報到)
women,2022,wsbl,狀元,cht,中華電信,王竫婷
women,2022,wsbl,2.,taipower,台灣電力,李吟娸
women,2022,wsbl,3.,taiyuen,台元紡織,楊家佳 (留UBA)
women,2022,wsbl,4.,taipower,台灣電力,黃沁瑜
women,2022,wsbl,5.,taipower,台灣電力,張欣然
men,2021,plg,狀元,lioneers,新竹街口攻城獅,朱雲豪
men,2021,plg,2.,steelers,高雄鋼鐵人,陳又瑋
men,2021,plg,3.,kings,新北國王,洪楷傑
men,2021,plg,4.,kings,新北國王,陳俊男
men,2021,plg,5.,steelers,高雄鋼鐵人,林均濠
men,2021,plg,6.,braves,臺北富邦勇士,王律翔
men,2021,plg,7.,kings,新北國王,聶歐瑪
men,2021,plg,8.,steelers,高雄鋼鐵人,藍少甫
men,2021,plg,9.,steelers,高雄鋼鐵人,劉駿霆 (未報到)
men,2021,plg,10.,kings,新北國王,曾于豪
men,2021,plg,11.,dreamers,福爾摩沙台新夢想家,王偉丞 (未報到)
men,2021,plg,12.,kings,新北國王,林仕軒
men,2021,plg,13.,steelers,高雄鋼鐵人,鄭德維
men,2021,plg,14.,dreamers,福爾摩沙台新夢想家,王振原
men,2021,plg,15.,steelers,高雄鋼鐵人,楊浩之
men,2021,plg,16.,steelers,高雄鋼鐵人,戴瑞騰
men,2021,t1,第1輪指名,dea,新北中信特攻,阿巴西
men,2021,t1,第1輪指名,dea,新北中信特攻,謝亞軒
men,2021,t1,第1輪指名,leopards,桃園雲豹,羅振峰
men,2021,t1,第1輪指名,suns,臺中葳格太陽,尤楚翔
men,2021,t1,第1輪指名,ghosthawks,臺南台鋼獵鷹,藍少甫 (23-24報到)
men,2021,t1,第2輪指名,dea,新北中信特攻,魏嘉豪
men,2021,t1,第2輪指名,leopards,桃園雲豹,黃奕勝
men,2021,t1,第2輪指名,suns,臺中葳格太陽,楊承翰
men,2021,t1,第2輪指名,ghosthawks,臺南台鋼獵鷹,蘇志誠 (未報到)
men,2021,t1,第2輪指名,aquas,高雄全家海神,蘇文儒
men,2021,t1,第3輪指名,dea,新北中信特攻,東方譯慷
men,2021,t1,第3輪指名,leopards,桃園雲豹,張舜丞
men,2021,t1,第3輪指名,ghosthawks,臺南台鋼獵鷹,林梓峰
men,2021,t1,第4輪指名,dea,新北中信特攻,劉旻諺
men,2021,t1,第4輪指名,ghosthawks,臺南台鋼獵鷹,劉駿霆
men,2021,t1,第5輪指名,dea,新北中信特攻,周承睿
men,2021,t1,第5輪指名,ghosthawks,臺南台鋼獵鷹,吳念哲
men,2021,sbl,狀元,jeoutai,高雄九太科技,曾柏喻
men,2021,sbl,2.,bank,臺灣銀行,王偉丞
men,2021,sbl,3.,yulon,裕隆納智捷,顏聞佐
men,2021,sbl,4.,pauian,桃園璞園建築,李謨汎
men,2021,sbl,5.,jeoutai,高雄九太科技,王詠誠
men,2021,sbl,6.,bank,臺灣銀行,曹立中
men,2021,sbl,7.,yulon,裕隆納智捷,游家昇 (沒簽約)
men,2021,sbl,8.,pauian,桃園璞園建築,朱恩麟
men,2021,sbl,9.,jeoutai,高雄九太科技,孫永成
men,2021,sbl,10.,yulon,裕隆納智捷,蘇志誠 (未報到)
men,2021,sbl,11.,pauian,桃園璞園建築,林俊恩
men,2021,sbl,12.,jeoutai,高雄九太科技,謝宗憲
men,2021,sbl,13.,yulon,裕隆納智捷,邱忠博
men,2021,sbl,14.,pauian,桃園璞園建築,邱家佑
men,2021,sbl,15.,jeoutai,高雄九太科技,蔡建宇
men,2021,sbl,16.,pauian,桃園璞園建築,趙得恩
men,2021,sbl,17.,jeoutai,高雄九太科技,林秉豪
men,2021,sbl,18.,pauian,桃園璞園建築,陳政軒
men,2021,sbl,19.,jeoutai,高雄九太科技,劉 靖 (未報到)
men,2021,sbl,20.,pauian,桃園璞園建築,吳念哲 (未報到)
men,2021,sbl,21.,pauian,桃園璞園建築,林梓峰 (未報到)
men,2021,sbl,22.,pauian,桃園璞園建築,周宸緯
men,2021,sbl,23.,pauian,桃園璞園建築,陶 俊 (轉球隊管理)
men,2021,sbl,24.,pauian,桃園璞園建築,陳奕綸
women,2021,wsbl,狀元,taipower,台灣電力,謝津宛
women,2021,wsbl,2.,cht,中華電信,陳怡萱
women,2021,wsbl,3.,cht,中華電信,楊婉琳
men,2020,cba,3.,oversea,天津榮鋼,林庭謙
men,2020,sbl,狀元,jeoutai,高雄九太科技,李漢昇
men,2020,sbl,2.,bank,臺灣銀行,蘇士軒
men,2020,sbl,3.,yulon,裕隆納智捷,斑 霸
men,2020,sbl,4.,pauian,桃園璞園建築,盧峻翔
men,2020,sbl,5.,beer,台灣啤酒,陳昱翰
men,2020,sbl,6.,jeoutai,高雄九太科技,林柏豪
men,2020,sbl,7.,bank,臺灣銀行,簡家暐
men,2020,sbl,8.,jeoutai,高雄九太科技,陳俊翰
men,2020,sbl,9.,pauian,桃園璞園建築,吳季穎
men,2020,sbl,10.,pauian,桃園璞園建築,姜廣謙
women,2020,wsbl,狀元,taipower,台灣電力,陳孟欣
women,2020,wsbl,2.,cht,中華電信,游乙文
women,2020,wsbl,3.,taiyuen,台元紡織,朱育勤
women,2020,wsbl,4.,taipower,台灣電力,劉昕妤
men,2019,cba,5.,oversea,青島國信雙星,林韋翰
men,2019,cba,6.,oversea,上海久事,吳永盛
men,2019,cba,16.,oversea,新疆廣匯,楊盛硯
women,2019,wcba,9.,oversea,內蒙古農信,張琦芳
women,2019,wsbl,狀元,taipower,台灣電力,楊芷瑜
women,2019,wsbl,2.,taiyuen,台元紡織,陳亭羽
women,2019,wsbl,3.,taipower,台灣電力,彭惠貞
women,2019,wsbl,4.,taipower,台灣電力,林嘉慈
men,2017,cba,狀元,oversea,廣州龍獅,陳盈駿
men,2017,cba,2.,oversea,江蘇同曦,周儀翔
men,2016,cba,4.,oversea,福建潯興,胡瓏貿
women,2015,wcba,狀元,oversea,河南伊川,黃品蓁
women,2015,wkbl,2.,oversea,KDB生命,秦安 (許筱彤)
