性別,球隊,分類,動作,球員,異動,0
men,oversea,resigned,續約,劉錚,E類 1+1年,
men,braves,resigned,續約,林志傑,續約 1 年,
men,braves,resigned,續約,洪楷傑,續約 複數年,
men,braves,resigned,續約,周桂羽,續約 複數年,
men,pilots,resigned,續約,盧峻翔,續約 5 年,
men,pilots,resigned,續約,關達祐,續約 5 年,
men,pilots,resigned,續約,陳昱瑞,續約 5 年,
men,pilots,resigned,續約,李家慷,提前續約 5 年,
men,ghosthawks,resigned,續約,谷毛唯嘉,提前換約,
men,ghosthawks,resigned,續約,白薩,提前換約,
men,ghosthawks,resigned,續約,呂冠霆,提前換約,
men,dea,resigned,續約,魏嘉豪,續約 2 年,
men,dea,resigned,續約,譚傑龍,續約 複數年 (已離隊),
men,kings,resigned,續約,蘇士軒,,
men,kings,resigned,續約,李愷諺,換約 3 年,
men,kings,resigned,續約,林書豪,執行球員選擇權,
men,leopards,resigned,續約,黃鎮,,
men,leopards,resigned,續約,劉元凱,,
men,dreamers,resigned,續約,陳振傑,續約 3 年,
men,dreamers,resigned,續約,吳家駿,續約 3 年,
men,dreamers,resigned,續約,盧冠良,續約 3 年,
men,dreamers,resigned,續約,李德威,續約 3 年,
men,lioneers,resigned,續約,曾柏喻,續約 3 年,
men,aquas,resigned,續約,蘇文儒,,
men,aquas,resigned,續約,呂威霆,,
men,aquas,resigned,續約,胡瓏貿,續約 3 年,
men,pilots,resigned,續留洋將,伯朗 Alec Brown,,
men,pilots,resigned,續留洋將,葛拉漢 Treveon Graham,,
men,dea,resigned,續留洋將,克力斯 Kristijan Krajina,,
men,kings,resigned,續留洋將,奧帝 Austin Daye,,
men,kings,resigned,續留洋將,曼尼高 Kenny Manigault,,
men,leopards,resigned,續留洋將,威廉斯 Devin Williams,,
men,leopards,resigned,續留洋將,克羅馬 Lasan Kromah,,
men,lioneers,resigned,續留洋將,霍立飛 Michael Holyfield,,
men,lioneers,resigned,續留洋將,克拉 Earl Clark,,
men,dreamers,resigned,續留洋將,高柏鎧 Brandon Gilbeck,,
men,aquas,resigned,續留洋將,布銳克曼 Jason Brickman,,
men,bank,resigned,續留洋將,瑪哈尼 Max Mahoney,,
,,,,,,
men,oversea,signed,同聯賽轉隊,陳盈駿,交易 from 廣州龍獅,
men,oversea,signed,Via 自由球員,阿巴西,B1 秋田北部喜悅,
