性別,球員,#,聯盟,球隊,連結,現役,身份,新秀,聯盟身份,位置,身高,體重,生日,學歷,入隊方式,class,合約,,剩餘年限,備注,,2023-24 球隊,,GP,PPG,RPG,APG,自由球員狀態,,0
men,劉錚,11,中國 CBA,上海久事,https://www.cbaleague.com/data/#/playerMain?playerId=958480,active,local,,港澳台,SG/SF,195,87,1990/11/24,明道大學,加盟: 2020-21賽季,resigned,2024-25,1+1年 (俱樂部選項),1+1,,https://www.cbaleague.com/#/news-register/detail/66d582e7c8,中國 CBA,上海久事,41,11.7,4.8,3.7,續約 1+1年,https://www.cbaleague.com/#/news-register/detail/66d582e7c8,
men,陳盈駿,1,中國 CBA,北京首鋼,https://www.cbaleague.com/data/#/playerMain?playerId=100002141,active,local,,港澳台,PG,183,86,1993/06/09,NCAA D1 Liberty,交易 from 龍獅: 2024/08/29,,2023-24,3年,2,龍獅 交易至 北京首鋼,https://weibo.com/1859597684/N7xKfgWu8,,,,,, ,,,
men,林庭謙,0,中國 CBA,天津先行者,https://www.cbaleague.com/data/#/playerMain?playerId=100025767,active,local,2020Rookie,港澳台,PG,191,92,1999/10/31,NCAA D1 Bryant,2020 CBA 選秀 - #3 順位,,2023-24,3年,2,,https://weibo.com/2337547167/N8l2dpPWH,,,,,,,,,
men,林彥廷,0,中國 CBA,北京控股,https://www.cbaleague.com/data/#/playerMain?playerId=100012995,active,local,2023Rookie,港澳台,PG,184,85,2000/10/22,政治大學,2023 CBA 選秀 - #3 順位,,2023-24,2年,1,,https://www.cbaleague.com/#/news-register/detail/66d5833e9b,,,,,,,,,
men,林秉聖,0,中國 CBA,浙江廣廈,https://www.cbaleague.com/data/#/playerMain?playerId=100024772,active,local,,港澳台,PG/SG,184,75,1996/12/26,文化大學,2024 CBA 選秀 - #4 順位,,2024-25,2年,2,,https://www.cbaleague.com/#/news-register/detail/66d5804614,,,,,,,,,
men,陳將双,5,中國 CBA,南京同曦,https://www.cbaleague.com/data/#/playerMain?playerId=100097304,active,local,2024Rookie,港澳台,PG/SG,186,87,2002/10/16,世新大學,2024 CBA 選秀 - #8 順位,,2024-25,3年,3,,https://www.cbaleague.com/#/news-register/detail/66d5818434,,,,,,,,,
men,陳冠中,12,中國 CBA,吉林九台農商,https://www.cbaleague.com/data/#/playerMain?playerId=100097306,active,local,2024Rookie,港澳台,PG,187,88,2001/12/10,國立體大,2024 CBA 選秀 - #21 順位,,2024-25,3年,3,,https://www.cbaleague.com/#/news-register/detail/66d4320683,,,,,,,,,
men,阿巴西,0,日本 B1,秋田北部喜悅,https://www.bleague.jp/roster_detail/?PlayerID=51000384,active,local,2021Rookie,亞外,SG/SF,189,92,1998/04/27,世新大學,加盟: 2024/06/17,,2024-25,1+1年,1+1,,https://sports.ltn.com.tw/news/breakingnews/4707957,,,,,,,,,
men,游艾喆,7,日本 B1,滋賀湖泊,https://www.bleague.jp/roster_detail/?PlayerID=51000382,active,local,2024Rookie,亞外,PG,180,78,2002/02/14,政治大學,加盟: 2024/06/24,,2024-25,1年,1,,https://www.cna.com.tw/news/aspt/202406240270.aspx,,,,,,,,,
men,曾祥鈞,88,日本 B1,名古屋戰鷹,https://www.bleague.jp/roster_detail/?PlayerID=51000408,active,local,2020Rookie,亞外,C,205,95,1998/08/08,輔仁大學,加盟: 2024/07/15,,2024-25,1年,1,,https://sports.ettoday.net/news/2780706,PLG,braves,27,5.2,4.1,0.8,加盟 名古屋戰鷹,https://sports.ettoday.net/news/2780706,
men,孫思堯,20,日本 B3,金澤武士團,https://samuraiz.jp/team/players/detail/id=15854?PlayerID=47146,active,local,2020Rookie,亞外,C,200,100,1997/10/03,NCAA D2 NYIT,加盟: 2024/11/20,,2024-25,1年,,,https://www.instagram.com/p/DClFNMhz0XJ/,,,,,,,,,
men,賴廷恩,0,PLG,braves,https://pleagueofficial.com/player/40,active,local,,本土,G,176,70,1996/07/22,輔仁大學,2018 SBL 選秀 - #3 順位,,2021-22,3年,0,,https://www.instagram.com/p/CSI2d6-hL7j/,,,,,,,,,
men,沃特斯,1,PLG,braves,https://pleagueofficial.com/player/435,active,import,,洋將,C,208,113,1995/01/19,-,加盟: 2024/08/15,,2024-25,,,,,,,,,,,,,
men,摩爾特力,3,PLG,braves,https://pleagueofficial.com/player/467,active,import,,洋將,C,208,118,1990/11/18,-,加盟: 2024/11/22,,2024-25,,,,,,,,,,,,,
men,陳又瑋,4,PLG,braves,https://pleagueofficial.com/player/204,active,local,2021Rookie,本土,G,183,86,1999/12/29,臺灣師大,加盟: 2024/08/01,,2024-25,,,,,PLG,steelers,39,11.0,5.4,6.2,加盟 勇士,https://www.instagram.com/p/C-HPZ5vTbRD/,
men,吳永盛,6,PLG,braves,https://pleagueofficial.com/player/229,active,local,,本土,G,186,82,1996/10/19,NCAA D1 Sacramento St.,加盟: 2023-24賽季,,2023-24,,,,,,,,,,,,,
men,金恩,7,PLG,braves,https://pleagueofficial.com/player/437,active,import,,洋將,F,203,103,1995/08/05,-,加盟: 2024/07/23,,2024-25,,,,,,,,,,,,,
men,周桂羽,8,PLG,braves,https://pleagueofficial.com/player/46,active,local,2020Rookie,本土,F,193,95,1998/07/19,臺灣師大,加盟: 2020-21賽季,resigned,2024-25,,,,,PLG,braves,40,7.6,2.4,2.7,續約 複數年,https://www.instagram.com/p/C9gwnAKz3P-/,
men,洪楷傑,11,PLG,braves,https://pleagueofficial.com/player/235,active,local,2021Rookie,本土,G,185,85,1998/10/07,政治大學,交易 from 國王: 2022/08/08,resigned,2024-25,,,,,PLG,braves,32,5.5,2.0,1.8,續約 複數年,https://www.instagram.com/p/C9d-EpZz-td/?utm_source=ig_web_copy_link,
men,林志傑,12,PLG,braves,https://pleagueofficial.com/player/48,active,local,,本土,G,192,92,1982/06/11,文化大學,加盟: 2019-20賽季,resigned,2024-25,1年,1,,https://www.instagram.com/p/C8oYWPMvZEA/,PLG,braves,36,9.9,4.7,2.7,續約 1年,https://www.instagram.com/p/C8oYWPMvZEA/,
men,蔡文誠,14,PLG,braves,https://pleagueofficial.com/player/50,active,local,,本土,F,190,96,1985/05/31,彰化師大,加盟: 2016-17賽季,,2022-23,3年,1,,https://www.instagram.com/p/Ch_wkRPv_q1/,,,,,,,,,
men,林郅為,18,PLG,braves,https://pleagueofficial.com/player/286,active,local,,本土,C,200,105,1992/07/10,文化大學,加盟: 2024/07/18,,2024-25,,,,,PLG,steelers,36,3.8,1.8,0.3,複數年合約 加盟勇士,https://www.instagram.com/p/C9jHWRxTEqx/,
men,石博恩,23,PLG,braves,https://pleagueofficial.com/player/53,active,uba_import,2020Rookie,外籍生,F,198,95,1995/10/05,健行科大,加盟: 2020-21賽季,,2022-23,3年,1,,https://www.instagram.com/p/CgI9tC9vOWk/,,,,,,,,,
men,簡廷兆,24,PLG,braves,https://pleagueofficial.com/player/275,active,local,2022Rookie,本土,G,183,80,1998/01/16,健行科大,2022 PLG 選秀 - #6 順位,,2022-23,2+1年 (球隊選擇權),1,,https://www.instagram.com/p/Chtm6ItPP39/,,,,,,,,,
men,張鎮衙,27,PLG,braves,https://pleagueofficial.com/player/297,active,local,2022Rookie,本土,F,195,92,1999/10/13,政治大學,加盟: 2024/08/31,,2024-25,,,,,PLG,pilots,36,5.1,1.6,0.9,複數年合約 加盟勇士,https://www.instagram.com/p/C_UijfYTxtL/,
men,蔡鎮嶽,33,PLG,braves,https://pleagueofficial.com/player/361,active,local,2023Rookie,本土,F,197,93,2000/01/26,高雄師大,2023 PLG 選秀 - #6 順位,,2023-24,2+1年 (球隊選擇權),1+1,,https://www.instagram.com/p/CwFJ4TVPr4M/,,,,,,,,,
men,威希,55,PLG,braves,https://pleagueofficial.com/player/438,active,import,,洋將,C,213,109,1990/03/07,-,加盟: 2024/08/26,,2024-25,,,,,,,,,,,,,
men,莫巴耶,00,PLG,braves,https://pleagueofficial.com/player/439,active,uba_import,2024Rookie,外籍生,F,100,105,2001/01/01,政治大學,2024 PLG 選秀 - #1 順位,,2024-25,,,,,,,,,,,,,
men,陳昱瑞,2,PLG,pilots,https://pleagueofficial.com/player/219,active,local,,本土,G,185,81,1995/12/22,國立體大,加盟: 2021-22賽季,resigned,2024-25,5年,5,,https://www.instagram.com/p/C8_XoZgS-m1/?img_index=3,PLG,pilots,37,3.2,1.7,1.3,續約 5年,https://www.instagram.com/p/C8_XoZgS-m1/?img_index=3,
men,陳力生,3,PLG,pilots,https://pleagueofficial.com/player/440,active,local,2024Rookie,本土,G,175,68,2002/09/16,國立體大,2024 PLG 選秀 - #4 順位,,2024-25,,,,,,,,,,,,,
men,關達祐,6,PLG,pilots,https://pleagueofficial.com/player/58,active,local,2020Rookie,本土,G,182,77,1997/09/15,國立體大,加盟: 2020-21賽季,resigned,2024-25,5年,5,,https://www.instagram.com/p/C8_XoZgS-m1/?img_index=2,PLG,pilots,38,2.5,1.5,1.7,續約 5年,https://www.instagram.com/p/C8_XoZgS-m1/?img_index=2,
men,喬楚瑜,7,PLG,pilots,https://pleagueofficial.com/player/365,active,local,2023Rookie,本土,F,198,98,2000/09/28,輔仁大學,2023 PLG 選秀 - #2 順位,,2023-24,,,,,,,,,,,,,
men,林子洧,10,PLG,pilots,https://pleagueofficial.com/player/294,active,local,2022Rookie,本土,G,188,82,2000/05/12,高雄師大,2022 PLG 選秀 - #7 順位,,2022-23,,,,,,,,,,,,,
men,李家慷,12,PLG,pilots,https://pleagueofficial.com/player/218,active,local,,本土,G,186,85,1998/10/16,國立體大,加盟: 2021-22賽季,resigned,,5年,,提前續約,https://www.instagram.com/p/DAXzWTwz5Uy/,,,,,,,,,
