0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
league,game,date,Win-Team,,q1,q2,q3,q4,ot,total,Lose-Team,,q1,q2,q3,q4,ot,total
plg,g105,2024/5/4,kings,road,26,24,18,30,-,98,lioneers,home,20,22,20,26,-,88
plg,g104,2024/5/1,lioneers,home,31,30,25,30,-,116,steelers,road,25,28,32,27,-,112
plg,g103,2024/4/30,lioneers,home,20,33,21,21,-,95,braves,road,18,25,22,24,-,89
plg,g102,2024/4/28,kings,home,24,19,28,23,-,94,pilots,road,15,26,15,20,-,76
plg,g101,2024/4/28,dreamers,home,21,19,19,34,9,102,steelers,road,32,13,22,26,6,99
plg,g100,2024/4/27,braves,road,38,12,26,26,-,102,kings,home,26,25,13,10,-,74
plg,g99,2024/4/27,dreamers,home,23,22,24,24,-,93,lioneers,road,18,8,21,19,-,66
plg,g98,2024/4/21,kings,road,28,23,24,19,-,94,lioneers,home,16,17,15,24,-,72
plg,g97,2024/4/21,steelers,home,26,24,22,31,-,103,dreamers,road,30,27,19,24,-,100
plg,g96,2024/4/20,pilots,road,29,32,27,18,-,106,lioneers,home,23,30,14,29,-,96
plg,g95,2024/4/20,steelers,home,26,29,24,28,-,107,braves,road,28,28,16,26,-,98
plg,g94,2024/4/19,dreamers,home,21,27,18,31,-,97,kings,road,25,25,17,26,-,93
plg,g93,2024/4/14,braves,road,20,24,24,30,-,98,steelers,home,24,15,13,17,-,69
plg,g92,2024/4/14,dreamers,home,35,15,16,31,-,97,pilots,road,20,25,17,18,-,80
plg,g91,2024/4/13,lioneers,road,33,28,31,24,-,116,steelers,home,29,29,27,25,-,110
plg,g90,2024/4/13,kings,road,30,33,32,21,-,116,dreamers,home,12,31,27,24,-,94
plg,g89,2024/4/7,pilots,road,24,33,28,16,-,101,braves,home,27,25,17,28,-,97
plg,g88,2024/4/7,lioneers,home,30,26,17,25,-,98,dreamers,road,20,23,14,39,-,96
plg,g87,2024/4/6,braves,home,34,26,37,25,-,122,kings,road,30,25,22,19,-,96
plg,g86,2024/4/6,lioneers,home,33,38,20,24,-,115,steelers,road,29,27,25,27,-,108
plg,g85,2024/4/5,pilots,home,21,29,21,25,-,96,dreamers,road,21,14,33,24,-,92
plg,g84,2024/4/2,lioneers,road,28,38,25,29,-,120,braves,home,31,22,25,23,-,101
plg,g83,2024/3/31,dreamers,road,28,28,27,25,-,108,kings,home,35,26,13,31,-,105
plg,g82,2024/3/31,pilots,home,20,15,21,27,-,83,steelers,road,13,29,19,18,-,79
plg,g81,2024/3/30,braves,road,21,31,23,27,-,102,kings,home,16,25,15,21,-,77
plg,g80,2024/3/30,pilots,home,21,29,23,23,-,96,lioneers,road,13,21,23,14,-,71
plg,g79,2024/3/29,dreamers,home,36,26,28,27,-,117,steelers,road,19,40,19,26,-,104
plg,g78,2024/3/26,dreamers,road,24,29,29,21,-,103,kings,home,35,18,22,26,-,101
plg,g77,2024/3/24,steelers,home,23,25,37,25,-,110,lioneers,road,15,33,27,28,-,103
plg,g76,2024/3/24,pilots,home,24,21,29,24,-,98,braves,road,22,19,18,17,-,76
plg,g75,2024/3/23,kings,road,30,36,18,25,-,109,steelers,home,20,24,34,24,-,102
plg,g74,2024/3/23,pilots,home,17,16,25,31,-,89,dreamers,road,31,24,14,16,-,85
plg,g73,2024/3/19,pilots,road,28,15,31,30,-,104,steelers,home,18,21,25,30,-,94
plg,g72,2024/3/17,kings,road,36,30,33,30,-,129,braves,home,30,25,27,22,-,104
plg,g71,2024/3/17,lioneers,home,25,25,29,19,-,98,dreamers,road,14,31,25,26,-,96
plg,g70,2024/3/16,pilots,road,29,27,25,32,-,113,braves,home,31,15,18,28,-,92
plg,g69,2024/3/16,lioneers,home,20,28,17,32,-,97,steelers,road,19,21,21,17,-,78
plg,g68,2024/3/10,dreamers,home,28,24,20,21,-,93,pilots,road,19,33,13,23,-,88
plg,g67,2024/3/9,dreamers,home,24,27,32,18,-,101,lioneers,road,20,22,16,27,-,85
plg,g66,2024/3/3,pilots,home,22,23,26,23,-,94,braves,road,19,29,22,22,-,92
plg,g65,2024/3/3,dreamers,road,32,29,20,21,-,102,steelers,home,14,22,20,27,-,83
plg,g64,2024/3/2,pilots,home,23,14,38,19,-,94,kings,road,19,22,17,29,-,87
plg,g63,2024/3/2,lioneers,road,26,19,25,29,-,99,steelers,home,27,29,21,21,-,98
plg,g62,2024/2/28,pilots,home,27,19,20,27,-,93,dreamers,road,22,12,19,29,-,82
plg,g61,2024/2/28,lioneers,home,17,24,27,20,-,88,kings,road,32,17,14,17,-,80
plg,g60,2024/2/27,steelers,home,23,25,20,31,-,99,braves,road,21,20,29,21,-,91
plg,g59,2024/2/18,braves,home,28,29,26,19,-,102,lioneers,road,24,27,26,20,-,97
plg,g58,2024/2/18,pilots,road,34,34,23,21,-,112,kings,home,37,18,24,18,-,97
plg,g57,2024/2/17,dreamers,road,19,33,20,24,-,96,braves,home,17,25,19,12,-,73
plg,g56,2024/2/16,lioneers,road,24,31,22,20,-,97,kings,home,12,24,29,14,-,79
plg,g55,2024/2/6,kings,home,26,34,27,24,-,111,steelers,road,24,25,16,28,-,93
plg,g54,2024/2/4,braves,home,36,22,32,19,-,109,lioneers,road,34,27,19,23,-,103
plg,g53,2024/2/4,dreamers,home,31,22,21,13,-,87,pilots,road,28,18,14,24,-,84
plg,g52,2024/2/3,steelers,road,27,23,20,20,-,90,braves,home,25,17,24,23,-,89
plg,g51,2024/2/3,dreamers,home,31,17,24,19,-,91,kings,road,15,29,11,15,-,70
plg,g50,2024/1/31,braves,home,22,24,26,26,13,111,dreamers,road,24,30,24,20,6,104
plg,g49,2024/1/28,braves,home,31,19,24,32,-,106,pilots,road,27,22,14,20,-,83
plg,g48,2024/1/28,kings,road,22,24,31,17,-,94,steelers,home,11,24,28,20,-,83
plg,g47,2024/1/27,braves,home,33,25,27,18,-,103,dreamers,road,21,25,22,30,-,98
plg,g46,2024/1/27,steelers,home,33,28,25,18,-,104,lioneers,road,23,27,18,21,-,89
plg,g45,2024/1/21,kings,home,31,29,20,30,-,110,steelers,road,29,19,27,22,-,97
plg,g44,2024/1/21,pilots,road,19,18,26,20,-,83,lioneers,home,15,21,13,23,-,72
plg,g43,2024/1/20,kings,home,19,38,25,32,-,114,dreamers,road,21,10,35,16,-,82
plg,g42,2024/1/20,lioneers,home,17,14,27,19,-,77,braves,road,30,20,12,10,-,72
plg,g41,2024/1/16,pilots,home,20,26,27,21,-,94,lioneers,road,23,25,12,22,-,82
plg,g40,2024/1/14,braves,road,25,30,22,17,-,94,dreamers,home,27,25,14,18,-,84
plg,g39,2024/1/14,steelers,road,23,30,17,21,-,91,pilots,home,22,18,22,20,-,82
plg,g38,2024/1/12,kings,road,27,26,17,25,-,95,lioneers,home,25,21,22,12,-,80
plg,g37,2024/1/9,pilots,home,22,33,20,21,-,96,braves,road,26,18,25,18,-,87
plg,g36,2024/1/7,pilots,home,27,32,19,22,-,100,braves,road,23,10,23,15,-,71
plg,g35,2024/1/7,lioneers,road,31,26,20,17,-,94,dreamers,home,23,23,23,20,-,89
plg,g34,2024/1/6,steelers,road,30,24,19,14,-,87,pilots,home,13,25,28,17,-,83
plg,g33,2024/1/6,dreamers,home,25,23,21,24,-,93,kings,road,21,20,18,17,-,76
plg,g32,2023/12/31,braves,road,31,27,26,20,-,104,kings,home,27,25,18,26,-,96
plg,g31,2023/12/31,dreamers,road,26,29,28,26,-,109,steelers,home,24,19,17,30,-,90
plg,g30,2023/12/30,lioneers,road,28,39,25,13,-,105,kings,home,30,21,25,22,-,98
plg,g29,2023/12/30,pilots,road,25,22,26,23,14,110,steelers,home,33,17,22,24,10,106
plg,g28,2023/12/24,lioneers,home,28,19,17,30,-,94,steelers,road,15,28,21,19,-,83
plg,g27,2023/12/24,dreamers,road,22,30,33,35,-,120,kings,home,14,37,29,24,-,104
plg,g26,2023/12/23,lioneers,home,29,30,17,17,-,93,pilots,road,21,19,25,15,-,80
plg,g25,2023/12/23,kings,home,23,30,22,36,-,111,braves,road,26,34,30,16,-,106
plg,g24,2023/12/22,dreamers,home,28,18,24,26,-,96,steelers,road,14,20,23,22,-,79
plg,g23,2023/12/19,pilots,home,21,19,29,12,-,81,steelers,road,15,21,8,27,-,71
plg,g22,2023/12/17,lioneers,road,31,18,20,34,-,103,braves,home,23,34,26,19,-,102
plg,g21,2023/12/17,pilots,home,26,28,26,20,-,100,kings,road,28,20,27,15,-,90
plg,g20,2023/12/16,braves,home,37,28,16,30,-,111,steelers,road,26,26,31,21,-,104
plg,g19,2023/12/16,dreamers,road,28,17,17,23,-,85,pilots,home,18,22,19,10,-,69
plg,g18,2023/12/10,lioneers,road,23,26,21,28,-,98,pilots,home,23,14,25,19,-,81
plg,g17,2023/12/10,dreamers,road,19,26,23,23,-,91,steelers,home,21,29,22,18,-,90
plg,g16,2023/12/9,kings,road,21,31,28,27,-,107,pilots,home,23,27,17,19,-,86
plg,g15,2023/12/9,braves,road,27,25,23,18,-,93,steelers,home,25,27,12,16,-,80
plg,g14,2023/12/3,kings,road,27,29,21,15,-,92,steelers,home,29,17,17,18,-,81
plg,g13,2023/12/3,dreamers,home,22,28,23,22,-,95,lioneers,road,18,14,22,19,-,73
plg,g12,2023/12/2,pilots,road,33,30,21,20,15,119,steelers,home,27,33,23,21,10,114
plg,g11,2023/12/2,dreamers,home,21,18,28,23,-,90,braves,road,8,23,25,20,-,76
plg,g10,2023/11/26,braves,road,22,20,31,26,-,99,lioneers,home,15,29,24,16,-,84
plg,g9,2023/11/26,kings,home,27,28,28,26,-,109,steelers,road,20,29,24,20,-,93
plg,g8,2023/11/25,dreamers,road,30,19,22,20,-,91,lioneers,home,23,17,14,19,-,73
plg,g7,2023/11/25,kings,home,29,15,30,24,-,98,pilots,road,24,23,21,24,-,92
plg,g6,2023/11/19,kings,home,28,31,32,32,-,123,pilots,road,30,32,25,26,-,113
plg,g5,2023/11/19,dreamers,home,21,27,15,26,-,89,braves,road,24,17,26,19,-,86
plg,g4,2023/11/18,kings,home,29,18,35,29,-,111,lioneers,road,21,22,15,29,-,87
plg,g3,2023/11/18,steelers,road,23,21,30,27,-,101,dreamers,home,15,35,20,23,-,93
plg,g2,2023/11/12,braves,home,25,40,26,24,-,115,steelers,road,23,16,27,28,-,94
plg,g1,2023/11/11,kings,road,25,24,22,25,-,96,braves,home,17,22,29,21,-,89
