0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
league,game,date,w-team,home/road,q1,q2,q3,q4,ot,total,l-team,home/road,q1,q2,q3,q4,ot,total
sbl,g50,2024/4/12,yulon,-,22,24,26,25,-,97,bll,-,9,22,11,29,-,71
sbl,g49,2024/4/12,beer,-,24,19,23,23,-,89,trust,-,27,14,24,20,-,85
sbl,g48,2024/4/7,yulon,-,21,30,15,17,-,83,beer,-,19,14,22,16,-,71
sbl,g47,2024/4/7,trust,-,26,20,24,14,-,84,bll,-,21,14,11,11,-,57
sbl,g46,2024/4/6,beer,-,19,33,18,15,-,85,bll,-,24,19,16,21,-,80
sbl,g45,2024/4/6,yulon,-,20,21,28,24,-,93,trust,-,15,26,7,21,-,69
sbl,g44,2024/4/5,bll,-,22,20,25,20,-,87,yulon,-,23,19,15,23,-,80
sbl,g43,2024/4/5,beer,-,22,30,11,17,-,80,trust,-,23,13,15,8,-,59
sbl,g42,2024/3/31,yulon,-,20,26,15,20,-,81,beer,-,11,22,13,26,-,72
sbl,g41,2024/3/31,trust,-,24,16,30,21,-,91,bll,-,18,20,29,22,-,89
sbl,g40,2024/3/30,bll,-,20,28,18,26,-,92,beer,-,22,19,23,20,-,84
sbl,g39,2024/3/30,trust,-,27,19,21,24,-,91,yulon,-,25,17,20,24,-,86
sbl,g38,2024/3/29,yulon,-,29,18,23,17,-,87,bll,-,20,14,19,22,-,75
sbl,g37,2024/3/29,trust,-,28,29,27,21,-,105,beer,-,24,21,26,32,-,103
sbl,g36,2024/3/24,beer,-,30,24,24,28,-,106,trust,-,23,18,23,28,-,92
sbl,g35,2024/3/24,yulon,-,21,23,13,24,-,81,bll,-,19,10,20,19,-,68
sbl,g34,2024/3/23,bll,-,19,31,18,16,-,84,beer,-,22,19,10,29,-,80
sbl,g33,2024/3/23,yulon,-,23,24,27,7,-,81,trust,-,14,15,21,23,-,73
sbl,g32,2024/3/22,beer,-,23,21,18,27,-,89,yulon,-,13,25,20,22,-,80
sbl,g31,2024/3/22,trust,-,18,18,17,34,-,87,bll,-,15,18,24,22,-,79
sbl,g30,2024/3/17,beer,-,22,20,21,21,-,84,trust,-,14,28,22,16,-,80
sbl,g29,2024/3/17,yulon,-,31,24,17,22,-,94,bll,-,28,8,20,20,-,76
sbl,g28,2024/3/16,beer,-,16,19,18,22,-,75,bll,-,17,14,20,15,-,66
sbl,g27,2024/3/16,yulon,-,21,23,25,14,-,83,trust,-,21,16,18,17,-,72
sbl,g26,2024/3/15,beer,-,24,21,17,17,-,79,yulon,-,17,15,15,20,-,67
sbl,g25,2024/3/15,bll,-,22,15,13,25,-,75,trust,-,19,21,12,20,-,72
sbl,g24,2024/3/10,beer,-,30,20,23,11,-,84,trust,-,19,13,26,11,-,69
sbl,g23,2024/3/10,yulon,-,13,21,19,23,-,76,bll,-,18,17,25,14,-,74
sbl,g22,2024/3/9,trust,-,10,15,18,32,-,75,yulon,-,13,25,6,23,-,67
sbl,g21,2024/3/9,beer,-,23,22,14,24,-,83,bll,-,18,18,20,11,-,67
sbl,g20,2024/3/8,bll,-,17,16,21,23,-,77,trust,-,30,7,20,14,-,71
sbl,g19,2024/3/8,beer,-,25,22,26,23,-,96,yulon,-,16,22,6,20,-,64
sbl,g18,2024/2/4,trust,-,25,21,31,26,-,103,beer,-,18,24,30,28,-,100
sbl,g17,2024/2/4,bll,-,25,20,15,19,-,79,yulon,-,20,15,18,15,-,68
sbl,g16,2024/2/3,trust,-,21,22,21,29,-,93,yulon,-,21,21,15,23,-,80
sbl,g15,2024/2/3,beer,-,26,23,17,22,-,88,bll,-,23,20,20,20,-,83
sbl,g14,2024/2/2,trust,-,34,25,20,15,-,94,bll,-,19,28,14,12,-,73
sbl,g13,2024/2/2,beer,-,20,27,24,22,-,93,yulon,-,23,20,16,27,-,86
sbl,g12,2024/1/28,yulon,-,20,26,23,19,-,88,trust,-,17,23,14,19,-,73
sbl,g11,2024/1/28,beer,-,35,22,32,15,-,104,bll,-,21,16,24,17,-,78
sbl,g10,2024/1/27,beer,-,23,31,31,7,-,92,yulon,-,15,17,14,25,-,71
sbl,g9,2024/1/27,trust,-,27,21,14,28,-,90,bll,-,13,22,27,21,-,83
sbl,g8,2024/1/26,yulon,-,21,22,21,17,-,81,bll,-,11,22,13,17,-,63
sbl,g7,2024/1/26,beer,-,29,23,17,31,-,100,trust,-,23,29,17,24,-,93
sbl,g6,2024/1/21,beer,-,12,16,10,23,-,61,yulon,-,10,14,25,7,-,56
sbl,g5,2024/1/21,trust,-,17,26,16,21,-,80,bll,-,15,20,17,26,-,78
sbl,g4,2024/1/20,yulon,-,10,20,18,14,12,74,bll,-,17,17,11,17,2,64
sbl,g3,2024/1/20,trust,-,23,19,27,14,-,83,beer,-,15,17,21,11,-,64
sbl,g2,2024/1/19,trust,-,26,16,21,29,-,92,yulon,-,16,24,23,13,-,76
sbl,g1,2024/1/19,bll,-,14,28,21,19,15,97,beer,-,24,18,16,24,7,89
