0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
league,game,date,w-team,home/road,q1,q2,q3,q4,ot,total,l-team,home/road,q1,q2,q3,q4,ot,total
t1,g62,2024/4/14,leopards,home,33,32,28,32,-,125,ghosthawks,road,25,31,37,28,-,121
t1,g63,2024/4/14,mars,road,33,31,23,27,-,114,dea,home,11,16,28,21,-,76
t1,g64,2024/4/13,leopards,home,26,41,23,27,-,117,aquas,road,19,24,15,20,-,78
t1,g43,2024/4/13,dea,home,27,24,19,18,-,88,mars,road,16,15,20,30,-,81
t1,g59,2024/4/7,aquas,home,32,21,29,25,-,107,mars,road,20,29,25,15,-,89
t1,g58,2024/4/7,leopards,road,21,27,33,24,-,105,ghosthawks,home,21,16,16,32,-,85
t1,g57,2024/4/6,dea,road,28,33,29,18,-,108,aquas,home,28,18,17,30,-,93
t1,g56,2024/4/6,ghosthawks,home,30,35,13,23,8,109,mars,road,22,28,25,26,5,106
t1,g55,2024/4/4,leopards,road,22,27,35,20,-,104,dea,home,23,27,22,22,-,94
t1,g54,2024/3/31,aquas,road,18,23,32,26,-,99,ghosthawks,home,33,15,21,23,-,92
t1,g53,2024/3/30,ghosthawks,home,33,29,35,16,-,113,dea,road,23,27,25,25,-,100
t1,g52,2024/3/24,mars,home,36,32,29,29,-,126,leopards,road,25,27,18,26,-,96
t1,g51,2024/3/24,dea,home,33,21,13,23,-,90,aquas,road,26,24,13,24,-,87
t1,g50,2024/3/23,leopards,road,28,23,25,28,-,104,dea,home,17,31,22,27,-,97
t1,g49,2024/3/23,mars,home,30,19,16,35,-,100,aquas,road,23,29,22,20,-,94
t1,g48,2024/3/17,ghosthawks,home,38,29,20,21,-,108,leopards,road,23,23,20,27,-,93
t1,g47,2024/3/16,dea,road,29,34,26,16,-,105,ghosthawks,home,21,30,23,20,-,94
t1,g60,2024/3/9,dea,home,22,15,35,13,-,85,ghosthawks,road,19,18,21,15,-,73
t1,g46,2024/3/3,mars,road,27,26,18,21,-,92,ghosthawks,home,24,26,19,21,-,90
t1,g42,2024/3/3,dea,home,27,25,17,26,-,95,leopards,road,15,31,16,28,-,90
t1,g45,2024/3/2,ghosthawks,home,29,28,22,19,-,98,aquas,road,26,28,27,14,-,95
t1,g44,2024/3/2,dea,home,25,25,17,20,-,87,mars,road,27,21,18,17,-,83
