0,1,2,3,4,5,6,7
,class,,日期,賽期,內容,未來籤,內容
men,index braves steelers dreamers leopards,,,,2024 - 2025 賽季,,
men,braves steelers,player draft,2024.07.12,休賽季,勇士 以球員陳范柏彥、2024年首輪及第2輪選秀權，交易 鋼鐵人 2024年第一輪第一順位之選秀權,,
men,dreamers leopards,player,2024.07.08,休賽季,福爾摩沙夢想家 以現金方式將前鋒丁冠皓交易至 桃園台啤永豐雲豹,,
men,index pilots steelers mars leopards suns,futurePick,,,2023 - 2024 賽季,,
men,leopards mars,player draft,2023.07.12,休賽季,台啤雲豹 以球員黃聰翰及,2024年第一輪選秀權,交易 臺北戰神 2023年第一輪第二順位選秀權
men,mars suns,draft,2023.07.12,休賽季,臺北戰神 以 2023年第二輪第三順位選秀權 及,2024年第二輪選秀權,交易 臺中太陽 2023年第一輪第三順位選秀權
men,pilots steelers,player draft,2023.06.19,休賽季,桃園璞園領航猿 以球員施晉堯、陳冠全以及2023年首輪第四順位選秀權向 高雄17直播鋼鐵人 交易球員周儀翔,,
men,index braves kings pilots dreamers dea leopards suns aquas,futurePick,,,2022 - 2023 賽季,,
men,braves kings,player draft,2022.08.08,休賽季,臺北富邦勇士 以球員林書瑋向 新北國王 交易球員洪楷傑、張文平及2024年附帶保護之首輪選秀權 (前二順位保護),,
men,dreamers pilots,player draft,2022.07.14,休賽季,福爾摩沙台新夢想家 以球員成力煥與2022年第一輪第四順位選秀權向 桃園領航猿 交易球員吳家駿與林耀宗,,
men,aquas dea,draft,2022.07.11,休賽季,高雄全家海神 以新臺幣150萬元向 新北中信特攻 交易2022年首輪指名權,,
men,leopards suns,player,2022.06.20,休賽季,桃園雲豹 以現金向 臺中葳格太陽 交易球員尤楚翔,,
men,index braves kings pilots dreamers steelers herobears dea suns ghosthawks aquas,,,,2021 - 2022 賽季,,
men,ghosthawks dea,player,2022.03.19,季中,臺南台鋼獵鷹 以現金向 新北中信特攻 交易球員呂濟而,,
men,herobears suns,player draft,2022.03.16,季中,台灣啤酒英熊 以球員周資華向 臺中葳格太陽 交易2022年及2023年第二輪選秀權,,
men,steelers braves,player draft,2021.10.27,休賽季,高雄鋼鐵人 以2022年首輪選秀權向 臺北富邦勇士 交易後衛王律翔,,
men,steelers pilots,player draft,2021.10.21,休賽季,高雄鋼鐵人 以2023年首輪選秀權向 桃園領航猿 交易後衛彭俊諺,,
men,dea aquas,draft,2021.08.04,休賽季,新北中信特攻 以新臺幣150萬元向 高雄海神 交易2021年首輪輪指名權,,
men,kings pilots,draft,2021.07.21,休賽季,新北國王 以2022年首輪選秀權向 桃園領航猿 交易2021年第一輪第四順位之選秀權,,
men,steelers dreamers,draft,2021.07.19,休賽季,高雄鋼鐵人 以新臺幣50萬元向 福爾摩沙台新夢想家 交易2021年第一輪第五順位之選秀權,,
